,Country,GMI_CNTRY,Year,Total population (millions),Continent,Sub-Continent,Military expenditure (Current USD - $ millions),Military expenditure per capita,Military expenditure (Constant USD 2022 - $ millions),Percentage change in military expenditure,Military expenditure as a share of GDP,Military expendenture as a share of government spending,Total of armed forces personnel,Armed forces personnel (% of total labour force)
4248,Dominican Republic,DOM,2014,10.282115,Americas,Central America and the Caribbean,437.5724658441615,42.55665938808908,472.8590231934945,15.445213606636221,0.6514378555432406,3.8320264276436693,71050.0,1.642701262
4249,Fiji,FJI,2014,0.91556,Oceania,Oceania,74.78794112721579,81.68546149593232,75.71981184873292,31.23530897347342,1.5397730991600305,5.294486121530383,3500.0,0.931968931
4250,"Gambia, The",GMB,2014,2.189019,Africa,Sub-Saharan Africa,14.599970284939412,6.6696407317339,19.71418678711481,54.09792217480023,1.2076885362678158,6.25564681724846,800.0,0.111740895
4251,Ghana,GHA,2014,28.196358,Africa,Sub-Saharan Africa,252.6538337166147,8.96051304628118,242.39779540677938,33.73690876487807,0.4849890514550688,2.313195070634205,15500.0,0.129382477
4252,Guatemala,GTM,2014,15.306316,Americas,Central America and the Caribbean,245.67287588320764,16.050424928062874,338.73322814487835,-6.3949879646839625,0.4246564283687394,3.123366053371479,43050.0,0.731696373
4253,Guyana,GUY,2014,0.751115,Americas,South America,39.28096746979678,52.29687527182492,45.884829400069904,11.334152196513724,0.9516521700353928,4.115506374081441,3400.0,1.185875525
4254,Haiti,HTI,2014,10.41274,Americas,Central America and the Caribbean,5.296049731064281,0.5086125007504539,6.923621694413027,19.262831428544793,0.035562482036380065,0.24309666191097756,120.0,0.002671785
4255,Honduras,HND,2014,9.127846,Americas,Central America and the Caribbean,241.8879921741257,26.500008016581976,284.281312268977,-10.293774909318154,1.1927159768807876,4.315508394708367,18700.0,0.490733276
4256,Israel,ISR,2014,8.2157,Asia,Middle East,17737.375713577003,2158.9609788060666,20053.92688941066,7.658422691750455,5.647196801200217,14.737313876478073,184500.0,4.756596329
4257,Kenya,KEN,2014,45.831863,Africa,Sub-Saharan Africa,819.0426267995349,17.87059423701661,991.3832324895658,-9.089159797982171,1.1994333671280828,5.12034357468412,29100.0,0.147578406
4258,Kuwait,KWT,2014,3.761584,Asia,Middle East,5832.103419529835,1550.4381716664668,6583.999427068207,-0.19572191136660866,3.585618421280053,8.097311670569868,22600.0,1.069971901
4259,Latvia,LVA,2014,1.993782,Europe,Central Europe,295.72896526571094,148.32562700722093,309.81279913774387,3.710419144163968,0.9434600357693678,2.496080627099664,5310.0,0.527498465
4260,Lesotho,LSO,2014,2.095242,Africa,Sub-Saharan Africa,47.69339602823479,22.76271477387089,48.27625696803091,6.123696494141195,1.953796076397718,3.770945650590121,2000.0,0.226435687
4262,Lithuania,LTU,2014,2.932367,Europe,Central Europe,426.9136953658939,145.58672068192482,467.89892095975586,20.243601662779188,0.8795962577443583,2.585934586459389,27400.0,1.85950932
4263,Luxembourg,LUX,2014,0.556319,Europe,Western Europe,252.07942306184427,453.1202836175724,232.5965885855329,7.280241946225918,0.3668568259369784,0.9032994199866884,1510.0,0.542695002
4264,Macedonia,MKD,2014,2.067471,Europe,Central Europe,124.18510567970968,60.066189890793964,121.05629147517881,-1.4688078793754222,1.0929608002562397,3.4462604954133917,8000.0,0.8395169
4265,Malawi,MWI,2014,16.477966,Africa,Sub-Saharan Africa,49.454535910886214,3.0012524549987676,65.56706716622352,-25.974347321726043,0.5807719202237627,3.1780663320170177,6800.0,0.108779984
4266,Malta,MLT,2014,0.434558,Europe,Western Europe,56.51487991665989,130.05140836587958,51.517115514172104,4.821355771560798,0.48676155038784913,1.2187982832618027,2130.0,1.036224058
4267,Mauritania,MRT,2014,3.843174,Africa,Sub-Saharan Africa,144.8443306631431,37.688725689532426,155.61135396463166,-2.3334314432880587,2.197095192426215,9.194187582562748,20850.0,2.27246718
4268,Mauritius,MUS,2014,1.261208,Africa,Sub-Saharan Africa,19.744222082766132,15.655008597127619,17.756169663428686,-17.766068270386548,0.15101748215940514,0.655648816882469,2500.0,0.418170687
4269,Moldova,MDA,2014,2.857815,Europe,Eastern Europe,27.565559837630307,9.645676797703947,38.62937584746543,9.507697459328156,0.29318544637109056,0.8680337431571391,7750.0,0.476438722
4270,Morocco,MAR,2014,34.248603,Africa,North Africa,4048.6125243501792,118.21248663340162,3875.234437334254,-0.845324966260208,3.398458641135788,11.078307233092348,245800.0,2.078120067
4271,Namibia,NAM,2014,2.243001,Africa,Sub-Saharan Africa,537.4560136947229,239.61470088275613,507.3884795325525,47.05170879550886,4.325867240079439,10.350881084630265,15200.0,1.752779655
4272,Nepal,NPL,2014,27.462106,Asia,South Asia,328.115662238927,11.947942457105329,400.8763551536793,13.023725399695962,1.4952627416370128,8.645813638156154,157750.0,2.190019868
4273,Nicaragua,NIC,2014,6.208676,Americas,Central America and the Caribbean,81.39192994117772,13.109385953007973,87.55914271807167,8.13690502295219,0.6850919590913584,2.7863651949148065,12000.0,0.44075856
